,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
377,9/16/2021,40-49,53048,48286.0,12257.0,159,127.0,32.0
378,9/16/2021,50-59,55908,51344.0,10764.0,492,414.0,78.0
379,9/16/2021,60-69,37087,34500.0,8418.0,1118,965.0,153.0
380,9/16/2021,70-79,19107,17858.0,7076.0,1889,1601.0,288.0
381,9/16/2021,80+,17382,15784.0,10526.0,4727,3783.0,944.0
382,9/17/2021,0-9,25542,23644.0,6785.0,1,1.0,0.0
384,7/1/2021,0-9,21534,20151.0,5720.0,1,1.0,0.0
386,7/1/2021,20-29,61227,54865.0,13156.0,10,10.0,0.0
387,7/1/2021,30-39,54322,49280.0,12278.0,43,41.0,2.0
388,7/1/2021,40-49,48740,44706.0,11262.0,152,120.0,32.0
389,7/1/2021,50-59,52106,48213.0,10032.0,465,394.0,71.0
390,7/1/2021,60-69,34499,32298.0,7831.0,1093,942.0,151.0
391,7/1/2021,70-79,17707,16655.0,6558.0,1853,1568.0,285.0
392,7/1/2021,80+,16581,15122.0,10041.0,4659,3728.0,931.0
393,7/2/2021,0-9,21542,20156.0,5722.0,1,1.0,0.0
395,7/2/2021,20-29,61244,54873.0,13160.0,10,10.0,0.0
396,7/2/2021,30-39,54339,49293.0,12282.0,43,41.0,2.0
397,7/2/2021,40-49,48748,44710.0,11264.0,152,120.0,32.0
398,7/2/2021,50-59,52124,48221.0,10036.0,465,394.0,71.0
399,7/2/2021,60-69,34507,32306.0,7832.0,1093,942.0,151.0
400,7/2/2021,70-79,17709,16656.0,6558.0,1853,1568.0,285.0
401,7/2/2021,80+,16582,15122.0,10041.0,4659,3728.0,931.0
402,7/6/2021,0-9,21552,20165.0,5725.0,1,1.0,0.0
404,7/6/2021,20-29,61296,54916.0,13171.0,10,10.0,0.0
405,7/6/2021,30-39,54390,49335.0,12294.0,43,41.0,2.0
406,7/6/2021,40-49,48764,44724.0,11268.0,152,120.0,32.0
407,7/6/2021,50-59,52138,48236.0,10039.0,465,394.0,71.0
408,7/6/2021,60-69,34517,32317.0,7835.0,1093,943.0,150.0
